Date,Open,High,Low,Close,Volume,Adj Close
2012-04-24,2148.00,2210.00,2127.35,2195.25,124000,1940.00
2012-04-23,2180.00,2208.00,2139.00,2145.85,18400,1896.34
2012-04-20,2181.05,2215.50,2174.00,2187.90,23600,1933.50
2012-04-19,2132.00,2220.00,2125.65,2192.75,40000,1937.79
2012-04-18,2130.00,2161.95,2126.60,2140.95,21400,1892.01
2012-04-17,2079.00,2134.00,2062.00,2122.40,26800,1875.62
2012-04-16,2035.00,2080.00,2035.00,2066.30,18900,1826.04
2012-04-13,2040.00,2095.00,2039.00,2058.10,40200,1818.79
2012-04-12,1991.00,2032.00,1983.55,2027.35,35400,1791.62
2012-04-11,1962.05,1983.65,1955.15,1972.35,15400,1743.01
2012-04-10,2004.00,2004.00,1947.00,1977.30,20500,1747.39
2012-04-09,1982.00,2020.00,1961.00,1985.30,25300,1754.46
2012-04-06,2010.60,2010.60,2010.60,2010.60,000,1776.82
2012-04-05,2010.60,2010.60,2010.60,2010.60,000,1776.82
2012-04-04,2009.00,2040.95,1990.60,2010.60,40700,1776.82
2012-04-03,2054.00,2063.20,2003.50,2009.90,36900,1776.20
2012-04-02,2074.00,2074.00,2035.00,2056.10,17800,1817.03
2012-03-30,2040.00,2066.85,2033.40,2054.85,49900,1815.92
2012-03-29,2015.00,2038.90,1975.30,2030.80,126400,1794.67
2012-03-28,1990.00,2009.95,1974.25,1993.05,21800,1761.31
2012-03-27,2000.00,2039.95,1990.00,2009.75,56900,1776.07
2012-03-26,2020.00,2021.00,1958.95,1995.65,58100,1763.61
2012-03-23,1935.00,2064.90,1922.55,2017.80,91400,1783.18
2012-03-22,1935.05,1958.50,1918.00,1938.65,20600,1713.23
2012-03-21,1948.00,1948.00,1911.00,1929.30,15900,1704.97
2012-03-20,1949.00,1957.45,1890.00,1930.70,26600,1706.21
2012-03-19,1962.00,1962.00,1921.00,1940.35,13700,1714.74
2012-03-16,1960.00,1974.90,1926.00,1955.05,123000,1727.73
2012-03-15,1955.00,1974.95,1921.65,1960.30,25600,1732.37
2012-03-14,1982.00,1994.05,1950.65,1970.95,28900,1741.78
2012-03-13,1949.00,1973.00,1938.90,1962.75,25700,1734.53
2012-03-12,1939.90,1942.90,1905.00,1927.90,22500,1703.73
2012-03-09,1911.10,1934.00,1890.95,1909.65,32000,1687.61
2012-03-08,1940.80,1940.80,1940.80,1940.80,000,1715.13
2012-03-07,1865.00,1897.15,1865.00,1883.10,39400,1664.14
2012-03-06,1917.50,1923.00,1813.05,1867.10,60100,1650.00
2012-03-05,1951.00,1951.00,1880.00,1887.20,47500,1667.77
2012-03-02,1982.70,1982.70,1927.60,1938.95,52600,1713.50
2012-03-01,1977.00,1980.00,1924.00,1940.80,52600,1715.13
2012-02-29,1987.10,2015.00,1934.45,1950.45,45300,1723.66
2012-02-28,1951.00,1988.70,1945.00,1971.55,55900,1742.31
2012-02-27,2097.00,2097.00,1918.10,1935.15,53100,1710.14
2012-02-24,2099.45,2109.00,2057.00,2072.30,39000,1831.34
2012-02-23,2164.00,2168.60,2066.35,2085.85,56700,1843.32
2012-02-22,2164.50,2195.00,2125.50,2143.20,48500,1894.00
2012-02-21,2125.00,2156.00,2120.00,2146.15,42700,1896.61
2012-02-20,2109.70,2109.70,2109.70,2109.70,000,1864.39
2012-02-17,2201.00,2210.00,2092.60,2109.70,56300,1864.39
2012-02-16,2089.95,2200.00,2076.00,2188.65,50200,1934.16
2012-02-15,2085.00,2100.40,2071.25,2093.05,41600,1849.68
2012-02-14,2015.00,2080.75,2010.30,2075.45,73500,1834.13
2012-02-13,1974.00,2024.40,1961.25,2017.20,40600,1782.65
2012-02-10,2000.00,2024.00,1957.00,1969.70,43300,1740.67
2012-02-09,1995.00,2034.80,1971.00,1993.15,95100,1761.40
2012-02-08,1969.00,2002.00,1950.00,1992.90,39600,1761.18
2012-02-07,1969.70,2009.50,1941.00,1949.70,45400,1723.00
2012-02-06,1961.00,1993.05,1952.00,1960.65,45400,1732.68
